Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,lowest_cumulative_price,highest_profit
2021-03-24,M&M,EQ,844.65,836.25,845.0,808.6,813.0,811.4,823.26,4066262,334760879925000.0,92887.0,1611554.0,0.3963,90.9,720.5
2021-03-30,ADANIPORTS,EQ,703.05,703.05,718.0,697.3,710.0,710.55,708.62,9109505,645514430835000.0,137556.0,1318011.0,0.1447,90.9,619.65
2021-03-24,AXISBANK,EQ,730.55,723.25,725.0,703.3,709.05,706.4,712.41,14379147,1024380057920000.0,210127.0,4688955.0,0.3261,90.9,615.5
2021-03-31,UPL,EQ,627.95,623.0,654.0,620.1,639.95,641.85,642.34,15862803,1018924928695000.0,178077.0,2292776.0,0.1445,90.9,550.95
2021-03-31,SUNPHARMA,EQ,597.7,598.2,606.0,595.7,597.65,597.8,600.96,5269919,316701864285000.0,101448.0,2128512.0,0.4039,90.9,506.9
2021-03-30,ICICIBANK,EQ,578.55,582.0,593.1,582.0,591.6,591.45,588.45,28012288,1648392847275000.0,266625.0,14467009.0,0.5165,90.9,500.55000000000007
2021-03-24,BHARTIARTL,EQ,529.25,528.0,533.45,521.5,522.25,523.65,528.12,10602439,559933721645000.0,124348.0,3704628.0,0.3494,90.9,432.75
2021-03-31,JSWSTEEL,EQ,467.45,467.35,473.8,461.3,469.8,468.45,469.81,7635784,358736606995000.0,86795.0,971172.0,0.1272,90.9,377.54999999999995
2021-03-30,BPCL,EQ,424.2,428.9,433.9,421.5,432.0,430.8,427.62,8576904,366763401320000.0,72931.0,4517636.0,0.5267000000000001,90.9,339.9
2021-03-30,WIPRO,EQ,403.9,405.0,420.45,405.0,419.7,418.1,413.6,13171390,544772500870000.0,122127.0,4174238.0,0.3169,90.9,327.20000000000005
2021-03-31,SBIN,EQ,360.8,360.3,367.85,357.95,364.5,364.3,363.98,38651025,1406827530330000.0,298129.0,7195064.0,0.1862,90.9,273.4
2021-03-26,HINDALCO,EQ,314.0,318.1,328.5,318.1,326.45,327.15,324.21,13857627,449276067035000.06,90407.0,3288800.0,0.2373,90.9,236.24999999999997
2021-03-31,TATAMOTORS,EQ,297.05,299.0,307.5,297.5,301.45,301.8,303.68,58569012,1778639969380000.0,325482.0,7088954.0,0.121,90.9,210.9
2021-03-30,VEDL,EQ,226.85,228.9,230.85,226.9,230.25,230.1,229.29,18234834,418112354355000.0,42738.0,12012244.0,0.6587999999999999,90.9,139.2
2021-03-30,POWERGRID,EQ,214.6,216.9,223.7,215.4,220.6,221.35,221.21,29997550,663568069100000.0,142060.0,14623539.0,0.4875,90.9,130.45
2021-03-31,ITC,EQ,214.55,214.05,219.3,212.7,217.8,218.5,217.38,36485322,793132989355000.0,162814.0,18894707.0,0.5179,90.9,127.6
2021-03-24,ZEEL,EQ,212.65,211.25,212.9,204.4,205.45,205.2,207.38,9492234,196846738955000.0,55373.0,2330709.0,0.2455,90.9,114.29999999999998
2021-03-31,GAIL,EQ,132.35,133.9,137.8,133.2,135.6,135.5,136.21,31464261,428562434370000.0,118301.0,5347842.0,0.17,90.9,44.599999999999994
2021-03-30,COALINDIA,EQ,129.6,131.0,134.45,130.15,133.0,132.95,132.3,20584678,272335709935000.0,78312.0,9114511.0,0.4428,90.9,42.04999999999998
2021-03-30,NTPC,EQ,104.2,105.85,108.7,104.6,108.0,107.7,107.44,36130210,388179470925000.0,97440.0,16728815.0,0.463,90.9,16.799999999999997
2021-03-24,ONGC,EQ,107.15,105.0,106.0,102.85,105.5,104.8,104.39,31083656,324471096080000.0,137209.0,10539950.0,0.3391,90.9,13.899999999999991
2021-03-24,IOC,EQ,96.75,96.0,96.75,94.25,94.25,94.55,95.39,19041669,181633607330000.0,82117.0,5954322.0,0.3127,90.9,3.6499999999999915
